# file...... output/grp_rec_qA.csv
# date...... Fri Jan 19 16:25:08 2024
# user...... nathangray
# host...... (null)
# group..... class=overhead_line
# property.. power_in_A
# limit..... 0
# interval.. 1
# timestamp,oh_line_103_71,oh_line_103_166,oh_line_194_103,oh_line_261_105,oh_line_105_191,oh_line_87_106,oh_line_187_50,oh_line_188_52,oh_line_109_104,oh_line_190_109,oh_line_109_12,oh_line_190_39,oh_line_166_190,oh_line_191_40,oh_line_193_53,oh_line_194_54,oh_line_195_55,oh_line_90_194,oh_line_197_56,oh_line_81_225,oh_line_200_57,oh_line_199_58,oh_line_201_41,oh_line_202_201,oh_line_203_59,oh_line_82_226,oh_line_84_202,oh_line_204_203,oh_line_204_61,oh_line_205_62,oh_line_206_204,oh_line_206_63,oh_line_207_64,oh_line_209_102,oh_line_92_206,oh_line_214_65,oh_line_216_66,oh_line_95_67,oh_line_203_60,oh_line_259_163,oh_line_91_224,oh_line_196_198,oh_line_200_196,oh_line_83_165,oh_line_205_200,oh_line_207_205,oh_line_85_207,oh_line_93_209,oh_line_184_185,oh_line_185_101,oh_line_249_184,oh_line_186_187,oh_line_187_188,oh_line_260_218,oh_line_191_193,oh_line_193_195,oh_line_256_197,oh_line_197_199,oh_line_199_210,oh_line_86_97,oh_line_213_211,oh_line_215_213,oh_line_214_215,oh_line_216_214,oh_line_210_217,oh_line_211_219,oh_line_74_98,oh_line_219_220,oh_line_77_99,oh_line_75_100,oh_line_254_222,oh_line_251_189,oh_line_217_216,oh_line_252_212,oh_line_89_192,oh_line_253_181,oh_line_181_182,oh_line_250_186,oh_line_178_3,oh_line_179_2,oh_line_231_4,oh_line_236_5,oh_line_240_6,oh_line_7_242,oh_line_73_7,oh_line_244_8,oh_line_80_9,oh_line_9_180,oh_line_183_51,oh_line_135_68,oh_line_130_69,oh_line_129_70,oh_line_226_45,oh_line_78_48,oh_line_106_108,oh_line_108_107,oh_line_107_10,oh_line_233_162,oh_line_243_168,oh_line_168_169,oh_line_169_158,oh_line_158_170,oh_line_170_171,oh_line_241_159,oh_line_159_164,oh_line_171_173,oh_line_175_172,oh_line_173_176,oh_line_239_160,oh_line_237_177,oh_line_160_167,oh_line_128_11,oh_line_167_208,oh_line_153_152,oh_line_212_154,oh_line_155_161,oh_line_112_14,oh_line_113_13,oh_line_114_15,oh_line_116_16,oh_line_117_116,oh_line_118_119,oh_line_119_42,oh_line_122_17,oh_line_120_18,oh_line_125_19,oh_line_122_20,oh_line_180_21,oh_line_192_127,oh_line_127_179,oh_line_79_22,oh_line_131_23,oh_line_132_25,oh_line_137_26,oh_line_183_43,oh_line_139_27,oh_line_225_44,oh_line_140_28,oh_line_141_29,oh_line_142_227,oh_line_142_30,oh_line_143_31,oh_line_144_32,oh_line_145_46,oh_line_146_33,oh_line_147_34,oh_line_147_35,oh_line_150_36,oh_line_149_37,oh_line_151_38,oh_line_151_178,oh_line_129_24,oh_line_152_175,oh_line_154_156,oh_line_218_153,oh_line_235_155,oh_line_76_110,oh_line_113_111,oh_line_114_112,oh_line_110_114,oh_line_114_115,oh_line_117_113,oh_line_120_118,oh_line_122_121,oh_line_123_122,oh_line_115_124,oh_line_125_123,oh_line_125_117,oh_line_124_125,oh_line_124_157,oh_line_157_126,oh_line_129_128,oh_line_128_131,oh_line_132_130,oh_line_131_133,oh_line_135_132,oh_line_174_134,oh_line_245_135,oh_line_72_174,oh_line_134_136,oh_line_138_183,oh_line_224_139,oh_line_165_138,oh_line_141_265,oh_line_140_142,oh_line_143_141,oh_line_144_140,oh_line_145_143,oh_line_246_145,oh_line_94_96,oh_line_146_144,oh_line_96_146,oh_line_98_147,oh_line_99_47,oh_line_148_149,oh_line_150_247,oh_line_47_150,oh_line_100_148,oh_line_147_151,oh_line_121_120,oh_line_130_129,oh_line_133_137,oh_line_156_223,oh_line_161_221,oh_line_135_49
2001-08-01 12:00:06 PDT,0.000000,0.000000,0.000000,351093.591334,338810.571903,12245.899732,1836.754284,3061.258631,0.000000,0.000000,0.000000,0.000000,0.000000,1836.753551,1836.753433,0.000000,3061.255757,-0.000000,2449.004805,12245.137194,1836.754235,2449.004797,612.251018,12857.595151,1836.753355,12245.153018,25103.236578,1836.757303,6122.519177,-0.000000,7959.384639,6122.519264,3061.256390,-0.000000,14082.238571,6122.518327,1836.753115,-0.000000,-0.000000,449071.033952,1800.008815,22211.215184,22213.553227,20410.443213,24051.707592,24052.577331,27114.554018,27115.463643,358125.526546,-0.000000,364455.496885,357851.903433,355819.465861,-0.000000,336864.019515,334499.009873,331052.089438,328421.999856,325587.401803,7959.342366,254949.728875,294406.383722,302402.792153,308695.450429,310936.241601,227671.978562,84678.031989,142914.390883,81661.783649,61237.352948,61242.656885,-0.000000,310766.920183,351681.057280,6122.669338,449106.028493,449085.191145,358014.592252,40776.983366,6122.598879,449052.060551,419466.974833,418565.790302,-0.000000,365121.930754,449033.369659,-0.000000,0.000000,-0.000000,1836.759119,6122.547618,3061.256271,12245.135505,40776.818644,12245.876796,12245.833471,12245.052859,-0.000000,424517.957138,423619.898790,422769.039143,422418.588664,421645.148757,365109.063280,365066.342042,420665.187348,-0.000000,419982.167724,-0.000000,419450.253713,-0.000000,3061.255537,-0.000000,-0.000000,351666.956983,-0.000000,3061.274688,3061.262649,3061.258445,6122.522057,6122.588789,-0.000000,0.000000,-0.000000,3061.269991,-0.000000,6122.587879,0.000000,6122.665703,6122.606917,6122.595204,-0.000000,1836.753487,-0.000000,20408.561828,1800.007049,12245.119681,3061.264582,-0.000000,25104.512628,6122.604085,1836.758628,3061.263233,6122.555859,1836.757482,20409.513566,20409.203101,61228.266353,61228.357125,3061.267912,40777.421752,30615.776595,-0.000000,351618.102004,-0.000000,-0.000000,24496.014366,-0.000000,3061.283118,24495.922810,18371.217870,3061.280418,-0.000000,3061.408428,9184.145755,18370.403159,9184.634558,9183.962657,18368.940271,-0.000000,-0.000000,368647.910410,-0.000000,409989.835028,-0.000000,412388.124235,418189.882671,417319.261031,418549.070519,417695.296744,20409.358350,1800.008429,20410.395660,-0.000000,31227.963111,-0.000000,34294.163309,1836.771514,7959.336228,39194.755961,37357.114869,39194.600028,84677.231433,81661.068381,61233.856093,-0.000000,61230.122191,61236.998560,43846.984859,3061.340896,403470.212581,-0.000000,351163.084911,-0.000000,3061.256104
2001-08-01 12:00:07 PDT,0.000000,0.000000,0.000000,351093.591334,338810.571903,12245.899732,1836.754284,3061.258631,0.000000,0.000000,0.000000,0.000000,0.000000,1836.753551,1836.753433,0.000000,3061.255757,-0.000000,2449.004805,12245.137194,1836.754235,2449.004797,612.251018,12857.595151,1836.753355,12245.153018,25103.236578,1836.757303,6122.519177,-0.000000,7959.384639,6122.519264,3061.256390,-0.000000,14082.238571,6122.518327,1836.753115,-0.000000,-0.000000,449071.033952,1800.008815,22211.215184,22213.553227,20410.443213,24051.707592,24052.577331,27114.554018,27115.463643,358125.526546,-0.000000,364455.496885,357851.903433,355819.465861,-0.000000,336864.019515,334499.009873,331052.089438,328421.999856,325587.401803,7959.342366,254949.728875,294406.383722,302402.792153,308695.450429,310936.241601,227671.978562,84678.031989,142914.390883,81661.783649,61237.352948,61242.656885,-0.000000,310766.920183,351681.057280,6122.669338,449106.028493,449085.191145,358014.592252,40776.983366,6122.598879,449052.060551,419466.974833,418565.790302,-0.000000,365121.930754,449033.369659,-0.000000,0.000000,-0.000000,1836.759119,6122.547618,3061.256271,12245.135505,40776.818644,12245.876796,12245.833471,12245.052859,-0.000000,424517.957138,423619.898790,422769.039143,422418.588664,421645.148757,365109.063280,365066.342042,420665.187348,-0.000000,419982.167724,-0.000000,419450.253713,-0.000000,3061.255537,-0.000000,-0.000000,351666.956983,-0.000000,3061.274688,3061.262649,3061.258445,6122.522057,6122.588789,-0.000000,0.000000,-0.000000,3061.269991,-0.000000,6122.587879,0.000000,6122.665703,6122.606917,6122.595204,-0.000000,1836.753487,-0.000000,20408.561828,1800.007049,12245.119681,3061.264582,-0.000000,25104.512628,6122.604085,1836.758628,3061.263233,6122.555859,1836.757482,20409.513566,20409.203101,61228.266353,61228.357125,3061.267912,40777.421752,30615.776595,-0.000000,351618.102004,-0.000000,-0.000000,24496.014366,-0.000000,3061.283118,24495.922810,18371.217870,3061.280418,-0.000000,3061.408428,9184.145755,18370.403159,9184.634558,9183.962657,18368.940271,-0.000000,-0.000000,368647.910410,-0.000000,409989.835028,-0.000000,412388.124235,418189.882671,417319.261031,418549.070519,417695.296744,20409.358350,1800.008429,20410.395660,-0.000000,31227.963111,-0.000000,34294.163309,1836.771514,7959.336228,39194.755961,37357.114869,39194.600028,84677.231433,81661.068381,61233.856093,-0.000000,61230.122191,61236.998560,43846.984859,3061.340896,403470.212581,-0.000000,351163.084911,-0.000000,3061.256104
2001-08-01 12:00:08 PDT,0.000000,0.000000,0.000000,257699.865647,257666.915430,0.649238,0.001782,0.004744,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010675,0.029323,0.000000,-0.105162,-0.000000,0.101327,0.089898,1836.754357,-0.005730,0.000097,0.241267,0.000884,0.101462,0.699739,0.003773,0.008786,-0.000000,0.091636,0.009231,3061.256597,-0.000000,0.345525,0.077380,-0.073968,-0.000000,-0.000000,293076.859593,1800.008888,22211.196201,22213.516986,20410.429795,24051.661172,24052.524513,27114.496108,27115.399037,259553.069692,-0.000000,259731.657810,259316.246998,259146.879979,-0.000000,257570.233209,257103.930122,256762.823455,256601.982790,256259.164354,0.057846,254947.324251,255197.631384,255231.606303,255386.125791,255752.169728,227670.832489,84677.864645,142913.997402,81661.586068,61237.269265,61242.534186,-0.000000,255598.617562,258212.735456,0.118839,293106.200734,293088.729678,259457.055294,40776.978603,0.067125,293060.951361,264311.292547,263558.140569,-0.000000,260308.215559,293045.280924,-0.000000,0.000000,-0.000000,0.005052,0.029497,0.001909,0.088661,40776.815094,0.632452,0.600686,0.028344,-0.000000,268533.003386,267782.388469,267071.223160,266778.309723,266131.853362,260297.138297,260260.174912,265312.782249,-0.000000,264741.900948,-0.000000,264297.392568,-0.000000,0.001235,-0.000000,-0.000000,258200.465598,-0.000000,3061.274688,3061.262650,3061.258446,6122.522058,6122.588787,-0.000000,0.000000,-0.000000,3061.269991,-0.000000,6122.587878,0.000000,0.116177,0.073025,0.064433,-0.000000,0.000914,-0.000000,20408.561896,1800.007135,0.077097,0.007881,-0.000000,1.634382,0.070894,0.004025,0.005883,0.033406,0.002349,20409.506768,20409.198540,61228.247965,61228.338071,3061.268040,40777.413828,2.379522,-0.000000,258157.810792,-0.000000,-0.000000,24496.014131,-0.000000,3061.283117,24495.922579,18371.217726,3061.280418,-0.000000,3061.408423,9184.145742,18370.403048,9184.634526,9183.962651,18368.940219,-0.000000,-0.000000,260710.557551,-0.000000,262014.401852,-0.000000,262486.254542,263243.343505,262514.007913,263544.241702,262829.019873,20409.352713,1800.008505,20410.382593,-0.000000,2.325100,-0.000000,5.947259,0.013466,0.053359,7.838914,7.189496,7.724724,84677.069978,81660.876062,61233.797571,-0.000000,61230.090480,61236.917484,43846.917518,3061.340893,261680.322332,-0.000000,257760.539811,-0.000000,0.001775
2001-08-01 12:00:09 PDT,0.000000,0.000000,0.000000,257699.841300,257666.891635,0.648685,0.001713,0.004614,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010759,0.029235,0.000000,-0.105314,-0.000000,0.101203,0.089162,1836.754221,-0.005858,0.000060,0.240493,0.000783,0.100725,0.698229,0.003672,0.008449,-0.000000,0.091198,0.008893,3061.256371,-0.000000,0.344749,0.077025,-0.074072,-0.000000,-0.000000,293076.833148,1800.008752,22211.194545,22213.515330,20410.428275,24051.659380,24052.522720,27114.494090,27115.397019,259553.045110,-0.000000,259731.633005,259316.222421,259146.855474,-0.000000,257570.209499,257103.906510,256762.800001,256601.959462,256259.141160,0.057383,254947.305132,255197.609909,255231.584364,255386.103495,255752.147320,227670.815391,84677.858295,142913.986656,81661.579921,61237.264666,61242.529587,-0.000000,255598.595157,258212.711098,0.118619,293106.174290,293088.703234,259457.030714,40776.975536,0.066904,293060.924917,264311.266187,263558.114222,-0.000000,260308.190743,293045.254480,-0.000000,0.000000,-0.000000,0.005009,0.029334,0.001816,0.087924,40776.812026,0.631900,0.600134,0.027792,-0.000000,268532.976949,267782.362046,267071.196750,266778.283318,266131.826969,260297.113481,260260.150097,265312.755870,-0.000000,264741.874579,-0.000000,264297.366208,-0.000000,0.001136,-0.000000,-0.000000,258200.441240,-0.000000,3061.274687,3061.262649,3061.258445,6122.522057,6122.588786,-0.000000,0.000000,-0.000000,3061.269990,-0.000000,6122.587876,0.000000,0.115957,0.072805,0.064213,-0.000000,0.000868,-0.000000,20408.560376,1800.006998,0.076361,0.007697,-0.000000,1.632873,0.070527,0.003918,0.005701,0.033050,0.002240,20409.505241,20409.197014,61228.243351,61228.333473,3061.267810,40777.410761,2.378580,-0.000000,258157.786436,-0.000000,-0.000000,24496.014124,-0.000000,3061.283116,24495.922572,18371.217721,3061.280417,-0.000000,3061.408422,9184.145739,18370.403043,9184.634523,9183.962649,18368.940214,-0.000000,-0.000000,260710.532626,-0.000000,262014.375699,-0.000000,262486.228332,263243.317164,262513.981589,263544.215355,262828.993542,20409.351193,1800.008369,20410.381074,-0.000000,2.323223,-0.000000,5.945199,0.013359,0.052896,7.836562,7.187254,7.722372,84677.063628,81660.869915,61233.792973,-0.000000,61230.085866,61236.912885,43846.914221,3061.340892,261680.296349,-0.000000,257760.515462,-0.000000,0.001704
2001-08-01 12:00:10 PDT,0.000000,0.000000,0.000000,2457.804327,2430.421622,0.642314,0.001798,0.004759,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010653,0.029347,0.000000,-0.105123,-0.000000,0.101357,0.088834,0.001028,-0.005699,0.000107,0.237971,0.000909,0.100227,0.689922,0.003759,0.008793,-0.000000,0.090565,0.009236,0.009187,-0.000000,0.341169,0.077390,-0.073940,-0.000000,-0.000000,11751.656326,0.006564,2.061398,3.757406,1.504846,4.773327,5.403792,5.934675,6.593566,3995.537003,-0.000000,4145.030640,3798.396796,3657.408940,-0.000000,2351.348086,1970.851170,1693.198502,1562.682811,1284.997589,0.057131,238.408783,434.723882,461.472379,584.069343,874.947362,114.955194,17.426404,40.278989,20.445645,8.856220,12.673031,-0.000000,753.018175,2881.382566,0.117896,11776.931286,11761.881421,3915.610971,0.783431,0.066634,11737.952705,8058.653123,7407.907554,-0.000000,4625.665225,11724.453252,-0.000000,0.000000,-0.000000,0.005039,0.029374,0.001937,0.087615,0.664897,0.625714,0.594298,0.028257,-0.000000,11706.029401,11057.530452,10443.114265,10190.049675,9631.539231,4616.393342,4585.582092,8923.897077,-0.000000,8430.680229,-0.000000,8046.589432,-0.000000,0.001271,-0.000000,-0.000000,2871.224954,-0.000000,0.015412,0.006529,0.003441,0.010590,0.059808,-0.000000,0.000000,-0.000000,0.011940,-0.000000,0.059147,0.000000,0.115257,0.072483,0.063966,-0.000000,0.000927,-0.000000,0.148023,0.005279,0.076222,0.007824,-0.000000,1.610659,0.069968,0.003995,0.005842,0.033017,0.002329,0.834272,0.610430,2.304404,2.370065,0.010434,1.099502,2.362296,-0.000000,2835.998470,-0.000000,-0.000000,4.413579,-0.000000,0.021630,4.346050,2.725333,0.019634,-0.000000,0.114055,0.283434,2.124394,0.643976,0.148366,1.045378,-0.000000,-0.000000,4961.066614,-0.000000,6077.577814,-0.000000,6483.274593,7136.304387,6507.214271,7395.844829,6778.928572,0.722490,0.006283,1.470619,-0.000000,2.291264,-0.000000,5.859750,0.013299,0.052709,7.723408,7.083607,7.610912,16.850289,19.930942,6.335239,-0.000000,3.642543,8.601196,7.091345,0.064241,5790.685806,-0.000000,2507.912104,-0.000000,0.001792
2001-08-01 12:00:11 PDT,0.000000,0.000000,0.000000,2457.776474,2430.394536,0.641547,0.001700,0.004577,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010769,0.029226,0.000000,-0.105331,-0.000000,0.101188,0.087850,0.000879,-0.005874,0.000058,0.236939,0.000773,0.099244,0.687906,0.003623,0.008337,-0.000000,0.089973,0.008781,0.008940,-0.000000,0.340122,0.076915,-0.074080,-0.000000,-0.000000,11751.625729,0.006413,2.059587,3.755594,1.503185,4.771366,5.401832,5.932468,6.591358,3995.508873,-0.000000,4145.002194,3798.368665,3657.380907,-0.000000,2351.321116,1970.824319,1693.171858,1562.656335,1284.971285,0.056511,238.387898,434.699856,461.447734,584.044223,874.922103,114.936515,17.419464,40.267250,20.438929,8.851196,12.668007,-0.000000,752.992916,2881.354711,0.117580,11776.900689,11761.850823,3915.582840,0.780080,0.066318,11737.922107,8058.622555,7407.876990,-0.000000,4625.636777,11724.422655,-0.000000,0.000000,-0.000000,0.004981,0.029146,0.001802,0.086632,0.661546,0.624947,0.593531,0.027490,-0.000000,11705.998812,11057.499867,10443.083683,10190.019094,9631.508654,4616.364894,4585.553644,8923.866504,-0.000000,8430.649659,-0.000000,8046.558864,-0.000000,0.001126,-0.000000,-0.000000,2871.197099,-0.000000,0.015411,0.006528,0.003440,0.010588,0.059806,-0.000000,0.000000,-0.000000,0.011939,-0.000000,0.059145,0.000000,0.114941,0.072167,0.063650,-0.000000,0.000863,-0.000000,0.146362,0.005129,0.075239,0.007580,-0.000000,1.608643,0.069478,0.003852,0.005598,0.032540,0.002183,0.832604,0.608762,2.299363,2.365042,0.010183,1.096150,2.360940,-0.000000,2835.970615,-0.000000,-0.000000,4.413571,-0.000000,0.021629,4.346042,2.725327,0.019633,-0.000000,0.114054,0.283431,2.124388,0.643973,0.148363,1.045371,-0.000000,-0.000000,4961.038018,-0.000000,6077.547485,-0.000000,6483.244195,7136.273825,6507.183717,7395.814264,6778.898015,0.720829,0.006133,1.468957,-0.000000,2.288758,-0.000000,5.856999,0.013156,0.052089,7.720267,7.080612,7.607771,16.843349,19.924227,6.330215,-0.000000,3.637503,8.596172,7.087742,0.064240,5790.655709,-0.000000,2507.884251,-0.000000,0.001695
2001-08-01 12:00:12 PDT,0.000000,0.000000,0.000000,2457.776655,2430.394711,0.641553,0.001700,0.004579,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010768,0.029227,0.000000,-0.105330,-0.000000,0.101189,0.087857,0.000880,-0.005872,0.000058,0.236946,0.000773,0.099250,0.687919,0.003623,0.008340,-0.000000,0.089977,0.008784,0.008941,-0.000000,0.340129,0.076918,-0.074080,-0.000000,-0.000000,11751.625920,0.006414,2.059598,3.755606,1.503196,4.771379,5.401845,5.932482,6.591373,3995.509054,-0.000000,4145.002378,3798.368846,3657.381088,-0.000000,2351.321290,1970.824493,1693.172031,1562.656507,1284.971456,0.056515,238.388035,434.700013,461.447895,584.044387,874.922268,114.936637,17.419510,40.267327,20.438973,8.851229,12.668040,-0.000000,752.993081,2881.354891,0.117582,11776.900880,11761.851015,3915.583021,0.780102,0.066321,11737.922299,8058.622750,7407.877185,-0.000000,4625.636960,11724.422846,-0.000000,0.000000,-0.000000,0.004981,0.029147,0.001803,0.086639,0.661568,0.624952,0.593536,0.027495,-0.000000,11705.999003,11057.500059,10443.083875,10190.019287,9631.508847,4616.365077,4585.553827,8923.866698,-0.000000,8430.649853,-0.000000,8046.559059,-0.000000,0.001127,-0.000000,-0.000000,2871.197280,-0.000000,0.015411,0.006528,0.003440,0.010588,0.059806,-0.000000,0.000000,-0.000000,0.011939,-0.000000,0.059145,0.000000,0.114943,0.072169,0.063653,-0.000000,0.000863,-0.000000,0.146372,0.005130,0.075245,0.007581,-0.000000,1.608657,0.069481,0.003853,0.005600,0.032543,0.002184,0.832614,0.608773,2.299397,2.365074,0.010184,1.096172,2.360950,-0.000000,2835.970795,-0.000000,-0.000000,4.413571,-0.000000,0.021629,4.346042,2.725327,0.019633,-0.000000,0.114054,0.283431,2.124388,0.643973,0.148363,1.045371,-0.000000,-0.000000,4961.038201,-0.000000,6077.547681,-0.000000,6483.244391,7136.274021,6507.183913,7395.814460,6778.898211,0.720840,0.006134,1.468968,-0.000000,2.288775,-0.000000,5.857017,0.013156,0.052093,7.720288,7.080632,7.607792,16.843394,19.924271,6.330247,-0.000000,3.637536,8.596204,7.087766,0.064240,5790.655903,-0.000000,2507.884431,-0.000000,0.001695
2001-08-01 12:00:13 PDT,0.000000,0.000000,0.000000,2457.776649,2430.394706,0.641552,0.001700,0.004579,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010768,0.029227,0.000000,-0.105330,-0.000000,0.101189,0.087857,0.000880,-0.005872,0.000058,0.236945,0.000773,0.099250,0.687919,0.003623,0.008340,-0.000000,0.089977,0.008784,0.008941,-0.000000,0.340128,0.076918,-0.074080,-0.000000,-0.000000,11751.625914,0.006414,2.059598,3.755606,1.503195,4.771379,5.401844,5.932482,6.591372,3995.509048,-0.000000,4145.002372,3798.368840,3657.381082,-0.000000,2351.321285,1970.824488,1693.172026,1562.656502,1284.971451,0.056515,238.388030,434.700009,461.447890,584.044382,874.922263,114.936634,17.419509,40.267324,20.438972,8.851228,12.668039,-0.000000,752.993076,2881.354885,0.117582,11776.900874,11761.851009,3915.583016,0.780101,0.066321,11737.922293,8058.622744,7407.877179,-0.000000,4625.636955,11724.422840,-0.000000,0.000000,-0.000000,0.004981,0.029147,0.001803,0.086638,0.661568,0.624952,0.593536,0.027495,-0.000000,11705.998997,11057.500053,10443.083869,10190.019281,9631.508841,4616.365071,4585.553821,8923.866692,-0.000000,8430.649847,-0.000000,8046.559053,-0.000000,0.001127,-0.000000,-0.000000,2871.197274,-0.000000,0.015411,0.006528,0.003440,0.010588,0.059806,-0.000000,0.000000,-0.000000,0.011939,-0.000000,0.059145,0.000000,0.114943,0.072169,0.063653,-0.000000,0.000863,-0.000000,0.146372,0.005130,0.075245,0.007581,-0.000000,1.608656,0.069481,0.003853,0.005600,0.032543,0.002184,0.832614,0.608773,2.299396,2.365073,0.010184,1.096172,2.360950,-0.000000,2835.970790,-0.000000,-0.000000,4.413571,-0.000000,0.021629,4.346042,2.725327,0.019633,-0.000000,0.114054,0.283431,2.124388,0.643973,0.148363,1.045371,-0.000000,-0.000000,4961.038196,-0.000000,6077.547675,-0.000000,6483.244385,7136.274015,6507.183907,7395.814454,6778.898205,0.720839,0.006134,1.468968,-0.000000,2.288774,-0.000000,5.857017,0.013156,0.052093,7.720287,7.080631,7.607791,16.843393,19.924269,6.330246,-0.000000,3.637535,8.596203,7.087765,0.064240,5790.655897,-0.000000,2507.884426,-0.000000,0.001695
2001-08-01 12:00:14 PDT,0.000000,0.000000,0.000000,2457.776649,2430.394706,0.641552,0.001700,0.004579,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010768,0.029227,0.000000,-0.105330,-0.000000,0.101189,0.087857,0.000880,-0.005872,0.000058,0.236945,0.000773,0.099250,0.687919,0.003623,0.008340,-0.000000,0.089977,0.008784,0.008941,-0.000000,0.340128,0.076918,-0.074080,-0.000000,-0.000000,11751.625914,0.006414,2.059598,3.755606,1.503195,4.771379,5.401844,5.932482,6.591372,3995.509048,-0.000000,4145.002372,3798.368840,3657.381082,-0.000000,2351.321285,1970.824488,1693.172026,1562.656502,1284.971451,0.056515,238.388030,434.700009,461.447890,584.044382,874.922263,114.936634,17.419509,40.267324,20.438972,8.851228,12.668039,-0.000000,752.993076,2881.354885,0.117582,11776.900874,11761.851009,3915.583016,0.780101,0.066321,11737.922293,8058.622744,7407.877179,-0.000000,4625.636955,11724.422840,-0.000000,0.000000,-0.000000,0.004981,0.029147,0.001803,0.086638,0.661568,0.624952,0.593536,0.027495,-0.000000,11705.998997,11057.500053,10443.083869,10190.019281,9631.508841,4616.365071,4585.553821,8923.866692,-0.000000,8430.649847,-0.000000,8046.559053,-0.000000,0.001127,-0.000000,-0.000000,2871.197274,-0.000000,0.015411,0.006528,0.003440,0.010588,0.059806,-0.000000,0.000000,-0.000000,0.011939,-0.000000,0.059145,0.000000,0.114943,0.072169,0.063653,-0.000000,0.000863,-0.000000,0.146372,0.005130,0.075245,0.007581,-0.000000,1.608656,0.069481,0.003853,0.005600,0.032543,0.002184,0.832614,0.608773,2.299396,2.365073,0.010184,1.096172,2.360950,-0.000000,2835.970790,-0.000000,-0.000000,4.413571,-0.000000,0.021629,4.346042,2.725327,0.019633,-0.000000,0.114054,0.283431,2.124388,0.643973,0.148363,1.045371,-0.000000,-0.000000,4961.038196,-0.000000,6077.547675,-0.000000,6483.244385,7136.274015,6507.183907,7395.814454,6778.898205,0.720839,0.006134,1.468968,-0.000000,2.288774,-0.000000,5.857017,0.013156,0.052093,7.720287,7.080631,7.607791,16.843393,19.924269,6.330246,-0.000000,3.637535,8.596203,7.087765,0.064240,5790.655897,-0.000000,2507.884426,-0.000000,0.001695
2001-08-01 12:00:15 PDT,0.000000,0.000000,0.000000,2457.776649,2430.394706,0.641552,0.001700,0.004579,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010768,0.029227,0.000000,-0.105330,-0.000000,0.101189,0.087857,0.000880,-0.005872,0.000058,0.236945,0.000773,0.099250,0.687919,0.003623,0.008340,-0.000000,0.089977,0.008784,0.008941,-0.000000,0.340128,0.076918,-0.074080,-0.000000,-0.000000,11751.625914,0.006414,2.059598,3.755606,1.503195,4.771379,5.401844,5.932482,6.591372,3995.509048,-0.000000,4145.002372,3798.368840,3657.381082,-0.000000,2351.321285,1970.824488,1693.172026,1562.656502,1284.971451,0.056515,238.388030,434.700009,461.447890,584.044382,874.922263,114.936634,17.419509,40.267324,20.438972,8.851228,12.668039,-0.000000,752.993076,2881.354885,0.117582,11776.900874,11761.851009,3915.583016,0.780101,0.066321,11737.922293,8058.622744,7407.877179,-0.000000,4625.636955,11724.422840,-0.000000,0.000000,-0.000000,0.004981,0.029147,0.001803,0.086638,0.661568,0.624952,0.593536,0.027495,-0.000000,11705.998997,11057.500053,10443.083869,10190.019281,9631.508841,4616.365071,4585.553821,8923.866692,-0.000000,8430.649847,-0.000000,8046.559053,-0.000000,0.001127,-0.000000,-0.000000,2871.197274,-0.000000,0.015411,0.006528,0.003440,0.010588,0.059806,-0.000000,0.000000,-0.000000,0.011939,-0.000000,0.059145,0.000000,0.114943,0.072169,0.063653,-0.000000,0.000863,-0.000000,0.146372,0.005130,0.075245,0.007581,-0.000000,1.608656,0.069481,0.003853,0.005600,0.032543,0.002184,0.832614,0.608773,2.299396,2.365073,0.010184,1.096172,2.360950,-0.000000,2835.970790,-0.000000,-0.000000,4.413571,-0.000000,0.021629,4.346042,2.725327,0.019633,-0.000000,0.114054,0.283431,2.124388,0.643973,0.148363,1.045371,-0.000000,-0.000000,4961.038196,-0.000000,6077.547675,-0.000000,6483.244385,7136.274015,6507.183908,7395.814454,6778.898205,0.720839,0.006134,1.468968,-0.000000,2.288774,-0.000000,5.857017,0.013156,0.052093,7.720287,7.080631,7.607791,16.843393,19.924269,6.330246,-0.000000,3.637535,8.596203,7.087765,0.064240,5790.655897,-0.000000,2507.884426,-0.000000,0.001695
